,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.03523995641134319,0.09777176536532102,0.017139785854744346,-0.05962286531414055,-0.06314493503137894,-0.05388701196227495,-0.06081933181742547,-0.06279256352003176,-0.06334965861452665,0.05720605447102236,-0.06378532504005431,-0.06063297091437327,-0.06284224281854565,-0.05475250150845351,0.15170296243185466,-0.05940133585381199,-0.061870464789461635,-0.06106647014538274,-0.06236403838713431,0.08433411138030582,-0.06333054846169048,-0.06409825125541607,-0.06201063034135215,-0.055793961638342895,-0.061172563481916006,0.009995961922920706,-0.06394907681130325,-0.06182923082038588,-0.06341282931230098,-0.06371221773771034,-0.05868402535107516,-0.04777837711529918,-0.06139617725569215,0.30741030620844223,-0.06400693758600166,-0.03416011629574925,-0.06423469275544216,-0.05034319749254089,-0.06377938372916936,-0.06186030893296937,-0.025537762172109808,-0.056536036618672965,-0.060138928404560414,-0.060934910455685075,-0.04708812678780604,-0.06339619249648475,-0.050944788014302106,-0.0531670309984878,-0.013868344031790901,-0.010918613722372414,-0.06281630798212694,0.23023803588829306,0.5016362233859195,-0.06102167657090588,-0.06299041075364722,-0.030344676804339086,-0.04913547255889484,-0.046108799886330015,-0.06372796959391193,-0.06402390355855242,-0.040560490759997854,0.11342050538379991,-0.06438611802345322,-0.06337426077281652,-0.06366714864810283,-0.061222483985102154,-0.061637851875342126,-0.06276106136323735,-0.06228939707106357,0.3523523545323526,-0.06056854410623846,-0.0635536089991911,-0.06355179178413525,0.2708115953562777,-0.06435875875911638,0.06672790610594756,-0.06372861011513796,0.4307161533327343,-0.06287988539489237,-0.06068738738803531,-0.06250511394040048,-0.01910792724109529,-0.04273328397763735,0.04432883494845823,-0.06340343386002908,0.19781055869206624,0.00262937523852022,-0.06354510622699476,0.02471841376785359,-0.05775132582973084,-0.062208183705624476,0.032814528902781484,-0.06291378493093294,0.17666697204787593,-0.0643792540509003,-0.06353336592691437,-0.06043254737811479,-0.06363558247607955,-0.02152581031685603,0.37586465451024803,-0.03911946613109695,-0.06402337684372339,-0.00345126074779101,-0.0636905508733104,-0.06117756057460158,-0.028019986983783173,-0.061681274422616186,-0.06265903618787709,-0.05900108140508531,-0.06330611971330867,-0.062467609516421954,-0.062046619334371875,-0.062027437861489974,0.0038528291956480337,-0.06225589341824382,0.13365268227395657,-0.05380063387462273,-0.03734967139863443,-0.06271475355377346,-0.06346265011299504
2,-0.06892614195097362,0.19982458781001392,0.04190077533057357,-0.12481213746419384,-0.13478652601493454,-0.11120474470475566,-0.1364587383102235,-0.1413646187802369,-0.14517670902886548,0.11800595163620835,-0.14408191017852592,-0.1377052097533029,-0.13382142305034023,-0.11282506380031236,0.3056369557725117,-0.13762103598213488,-0.13894272181041814,-0.12776373006548536,-0.13141291767229474,0.17234961022333234,-0.1346698826975794,-0.14636789608892395,-0.139714972010735,-0.1148388252794223,-0.12753149132947808,0.026598341251633434,-0.14535754302869117,-0.13134155368267295,-0.13560437169302347,-0.1459575631661413,-0.12181385073797976,-0.09836715374803445,-0.13890859582756454,0.6013236887826201,-0.1449940798060327,-0.06711990959823899,-0.14556083111152643,-0.10315934393823524,-0.13592863386232873,-0.13606819103970008,-0.0469660457137228,-0.11630771023849724,-0.12361672015138107,-0.12673414234644714,-0.09644721622688313,-0.13496282676469348,-0.10463001092558573,-0.10905477460913393,-0.021852258946653214,-0.01650341959837166,-0.13724580726212435,0.4576872686828696,0.9538734911735098,-0.1393509781804928,-0.1349663063176729,-0.0582480279873565,-0.10100334060137352,-0.09489156131594945,-0.14402895268125288,-0.14577598630671076,-0.08184546374187424,0.23029923689377485,-0.14634048386540485,-0.13512894028430666,-0.14313398224135784,-0.13827851533062338,-0.13988929623944482,-0.14138802832420877,-0.13093725759341668,0.687731974267732,-0.13717373800868696,-0.14490648080107857,-0.14346464423297206,0.5336603565814363,-0.13784630481840332,0.13710555698939442,-0.14325923475936583,0.829358034594378,-0.14361832169598132,-0.12633658740904766,-0.14066280731015635,-0.03346007706210975,-0.08729459937846859,0.09403434961277617,-0.14453677364691436,0.39491259217510866,0.012462581869763048,-0.1359517795065566,0.056331451477731276,-0.11835711558123152,-0.1346267828642924,0.07143320321536133,-0.14176388926226455,0.35492777550428684,-0.1464448911249131,-0.14402243373565068,-0.12567551422497422,-0.14404926507832572,-0.03906670082110828,0.7281566935328618,-0.07927310351874733,-0.14583437353533,9.0151966447874e-05,-0.14482916874630478,-0.13919691143244847,-0.05415117580616471,-0.13952115216410294,-0.13362262706815317,-0.12036514723244311,-0.14221195161798428,-0.13726392987992767,-0.13108177228266266,-0.1320793545660887,0.015117445200952102,-0.14095840141109972,0.26811778874956677,-0.11070489037886144,-0.07341894296424678,-0.14247294643570127,-0.14465729957705814
3,-0.09483773727440355,0.30386194655139587,0.0688318750557924,-0.18699788226220787,-0.20663625288277987,-0.1631639894113024,-0.21194855735107732,-0.21938528475713553,-0.22518328709449856,0.18199716613284186,-0.22404304554948742,-0.21404602665696026,-0.2026798707961637,-0.16594200520971614,0.4573996397788185,-0.21368142325490644,-0.21527873893746238,-0.18835603310906876,-0.19874106440274036,0.2627383017753077,-0.20736286347523886,-0.2284540493153868,-0.21668541146600315,-0.16955632287543787,-0.19120121639130144,0.04665509028947269,-0.22792355793877772,-0.19824389410483617,-0.20871573070312882,-0.22632352245318577,-0.18227609250546048,-0.14422531706422004,-0.21479370540169726,0.8769042573331453,-0.22430829345430642,-0.09124895003614694,-0.22560023536880527,-0.150448239367368,-0.20483842843585431,-0.20857628904091347,-0.059898486631628604,-0.17184330259151676,-0.1843453339642942,-0.18914712450099622,-0.13950357093727647,-0.20669477864247096,-0.15235550047524016,-0.159556970882144,-0.023245354598037837,-0.015599014195990876,-0.2101648857990741,0.6754993736740794,1.3649906488885601,-0.2170544314157074,-0.20390913976216632,-0.0773788924804345,-0.1462694044285847,-0.13691687608809253,-0.22215688281143317,-0.22633055254367088,-0.11496529331582514,0.34783688811412405,-0.22676252726782278,-0.20442613499873874,-0.22127625090206723,-0.21465524482076864,-0.21635144996144007,-0.2189157730956009,-0.19789250345397086,0.9965136654733806,-0.21296959111687513,-0.22515504240205256,-0.2219720129815748,0.7821136680800987,-0.2077660897584425,0.21070002696080783,-0.22155768057388092,1.1936568338328617,-0.22243003445458717,-0.18703354869668462,-0.21827837232618377,-0.04003898230819739,-0.12521670799186646,0.1451638575200412,-0.2236722302930293,0.5857044315623376,0.027823443741302776,-0.2086090631170428,0.08929209213284593,-0.17510463871295467,-0.2065011899182287,0.11132098725653455,-0.21933838505441094,0.5293750022799305,-0.22730940709054775,-0.22302353053584134,-0.1883512209286803,-0.22284263544192137,-0.04975983698861816,1.0515121644616998,-0.11216627752736562,-0.22573590458046897,0.009904538194634965,-0.22357293779476162,-0.21606712338274672,-0.07337313994758428,-0.2160495296498881,-0.20117331749552664,-0.17847027301430576,-0.21991551562365846,-0.20969221182619338,-0.19594402588129797,-0.19992485022204384,0.03098218463600891,-0.21773985955761085,0.40369662959608427,-0.16239476073957548,-0.10178251427060696,-0.22056587562144728,-0.2246728177820464
4,-0.11412713694324413,0.40718983221913213,0.10035356267767094,-0.2449144835688484,-0.27497672704369974,-0.2100759384464234,-0.28537766399499925,-0.29509507315493977,-0.3039502201762922,0.24963533020908846,-0.3024175311337053,-0.2863946752854421,-0.26879790215899835,-0.21365101315225804,0.6052745771097696,-0.28714651603524183,-0.28839454268373327,-0.24577744366144208,-0.26286153746246677,0.3531577293417295,-0.27683369106712397,-0.3095652535645853,-0.2908450639780287,-0.21826917351681932,-0.2507899442809207,0.07002074537795121,-0.3092621172777695,-0.26102000041484075,-0.27789295033595773,-0.30480693373387513,-0.23769394226807203,-0.1851296315292357,-0.2883160211358697,1.134085015323922,-0.3020920022403941,-0.1093983515267422,-0.3040973071334425,-0.1932396919549194,-0.2734445218680192,-0.27628625094984055,-0.06870085125201986,-0.22285614698157735,-0.24092118206138888,-0.24732965109880134,-0.17710521296614412,-0.27487298682662764,-0.1953599117492828,-0.20544661599308564,-0.01829563625624323,-0.011690137414836656,-0.2831471028477819,0.8815061752093599,1.7433610511597988,-0.29303595582181907,-0.271204270003265,-0.09147152516216911,-0.18683597825488324,-0.17296241551319577,-0.29817141315303025,-0.30554073799003567,-0.14310169493367586,0.46344561717489374,-0.30692615245169635,-0.27118519746653635,-0.297355701965277,-0.2876676919507727,-0.289844770501447,-0.2948524111292962,-0.26249031627440844,1.2863402659970011,-0.28677413190022527,-0.3050997925951779,-0.29877222962354893,1.0169818027649173,-0.278160840322141,0.2875657959793896,-0.2979336961994535,1.534179064715427,-0.2993412091568981,-0.24420477210494373,-0.29404890321520355,-0.042247190534022594,-0.15842825566898658,0.20102515963069967,-0.30046781515583454,0.7675342563356609,0.04387187451474767,-0.27531052610009693,0.12828778200281185,-0.22707734403132057,-0.2753104745073062,0.15745234374769077,-0.2955839200974298,0.6950442660706715,-0.3064170181452986,-0.3001690016982464,-0.24737970181492208,-0.29960888774404976,-0.05531329822421961,1.355265084225676,-0.1407381080871226,-0.30409525569017165,0.020014736773544504,-0.3009693523321654,-0.2907813997190786,-0.08920993171630151,-0.28952399671442997,-0.26600609597672475,-0.2324010707636886,-0.2950030059076051,-0.28067736274206706,-0.2591642395802238,-0.2627153412471512,0.04703156721608308,-0.29218879702080214,0.536232326423907,-0.20903909962092132,-0.1247783482688818,-0.29579993274597893,-0.30268965808376375
5,-0.13069182755860975,0.5100760235590098,0.13567837143024605,-0.2980030510711943,-0.3416843795960596,-0.2532217890787961,-0.356332609249951,-0.3682706259520548,-0.38015793752814186,0.3179375803077461,-0.37743994169870476,-0.35656181107506024,-0.33309684174489496,-0.2572051181058612,0.7473183202058901,-0.3574931058465634,-0.35960180838431194,-0.2989446264815993,-0.32380947766479257,0.44387530383796076,-0.34229245888095405,-0.3885337880005393,-0.3620239078722262,-0.2633805615234896,-0.30672773119600594,0.0964575213831576,-0.3889400966643697,-0.3205026249818352,-0.3420863853735894,-0.38072093997695017,-0.2893270285023706,-0.22205593508768356,-0.3576379939308215,1.3793593004260625,-0.3762265375908927,-0.12428827353946642,-0.37931977454033156,-0.23212658600383698,-0.338878450674925,-0.34241284041508246,-0.07405319284330926,-0.2694944934501792,-0.2943572341001551,-0.30195333081725484,-0.21107741039751765,-0.3383040887613022,-0.23441472606545422,-0.24751198101682265,-0.011010864887801852,-0.004310908266052114,-0.352381985738562,1.079577351890779,2.100372568298594,-0.36656643912303166,-0.3352021617549209,-0.10205254536909357,-0.22331905945568206,-0.20518605389099562,-0.3710373917583208,-0.3843394665330582,-0.16701689175309314,0.5764163274090899,-0.3855559340608683,-0.3345728721911979,-0.3691794060875134,-0.358794832878307,-0.3595391690102849,-0.3683179045194489,-0.32328027108721574,1.562656499098833,-0.35771889657021677,-0.3835717686071342,-0.37248745791035404,1.2393169933821813,-0.3456815811525129,0.36501679175265866,-0.3711933248423576,1.8547316061946038,-0.37383640626160997,-0.2972566019106466,-0.367296430066422,-0.04045959934066389,-0.18803097618075362,0.2595554570894725,-0.3754891484903546,0.9426248446048799,0.06233222643086241,-0.3406144991610599,0.16951485580941109,-0.27462872548576306,-0.33961204820883056,0.2053628818373191,-0.3690910114348477,0.8538124996635774,-0.3835990111853875,-0.37582529469942516,-0.3033596866058925,-0.37293128297162526,-0.05881554693561508,1.6434943289278157,-0.16577628263855543,-0.38029515902946426,0.03266125896137931,-0.37546374511665465,-0.363462950859712,-0.10198351592675872,-0.36007414082995587,-0.32722196728532466,-0.2819809284805292,-0.36625159764002385,-0.34988077329463013,-0.3177963832205765,-0.3220369132024316,0.06628998400168308,-0.36417514954883323,0.6633191589670709,-0.2514030460249525,-0.1444141843964726,-0.36813389568413707,-0.3787895652307557
6,-0.14492591952978934,0.6097565180177968,0.17218414170828822,-0.3482474434328398,-0.40530535152767727,-0.29309758690175514,-0.4249028910694842,-0.43937098469071606,-0.4548994009103182,0.38671984500654855,-0.4495033375735308,-0.42442265081044367,-0.3952366334792216,-0.2972056180019171,0.8838681312950852,-0.4251997459975814,-0.42795512369111005,-0.34798394535742944,-0.3818474694883817,0.5319887744522231,-0.40696082627398944,-0.46508116902447555,-0.4292443488618848,-0.3056820339721336,-0.36016429963447005,0.1253132724235876,-0.4658590614102238,-0.3758721533998035,-0.4057413726054288,-0.45388894522957113,-0.3366826692982475,-0.2549071900860228,-0.4252780245226513,1.616540009526912,-0.4485658590820461,-0.13759235737433603,-0.4532065430327355,-0.2681820987381951,-0.4026786803465985,-0.40587268678545546,-0.07669756129000939,-0.31284388359442133,-0.34543214575218634,-0.3540462813818375,-0.24199259661881678,-0.4006568641171246,-0.2702114385199921,-0.2870394938157054,-0.002221765111317322,0.006015298678472776,-0.41968190376084497,1.270561388698336,2.438245277856993,-0.4357895427288557,-0.395950179295567,-0.11148249086395191,-0.2572645793819144,-0.2339456261672132,-0.44162522834523715,-0.460701294652119,-0.1883203694398976,0.686229170125634,-0.4624327535506055,-0.39675347716330134,-0.4393921359616788,-0.42621920586420053,-0.4264559502577331,-0.4389129286602723,-0.3796892766311185,1.827853553611986,-0.42666608510620685,-0.45989049446467134,-0.44310414981203317,1.4558003867336198,-0.40849649386094145,0.4415673133156476,-0.4424153348684078,2.159097475850166,-0.4457089540031294,-0.347928750759924,-0.4378352835889361,-0.03662245178203011,-0.21400033683325267,0.3198896185558071,-0.44684764464530446,1.112620526310259,0.08401982573057357,-0.40228740394019286,0.21288339365090245,-0.3187466727247476,-0.40176170627113894,0.2550035428430802,-0.4397923553787427,1.0099846783473303,-0.4580269576987724,-0.44916385358174066,-0.3562730583222215,-0.4440428632799858,-0.06077553146670023,1.9180656303105195,-0.18756395843568774,-0.453474258050027,0.048283792513609446,-0.44777694315350514,-0.4327143226843365,-0.11208495214897647,-0.42784079547040027,-0.38558643829606826,-0.32768829804840294,-0.4352489507988111,-0.4153139988873924,-0.3750687140300353,-0.3794101158899995,0.0892534311970954,-0.4339474843217127,0.7874717372341783,-0.28965775589112075,-0.1619278560906704,-0.4374670303737703,-0.4517689331833506
7,-0.15726432170588595,0.7070444748006971,0.2095897789169681,-0.3956406815315776,-0.4680961137104541,-0.3305316764284838,-0.49172187857122684,-0.5092441726756388,-0.5278266190082028,0.45362493209387145,-0.5199134578857219,-0.4906491559892612,-0.4548504682176846,-0.33548844760868524,1.0161864943868602,-0.48997045499734126,-0.49484429242141936,-0.3951908029848005,-0.4385487872235262,0.6185498074314993,-0.468850463613072,-0.5385850578294668,-0.4964414276634097,-0.34550624299557353,-0.4117675101678257,0.1550699302083832,-0.5400672781120397,-0.4289273843926449,-0.46741951572109935,-0.5259733021611687,-0.3826331210511648,-0.2851592418519443,-0.4903406877011476,1.846101101958339,-0.5188970971073852,-0.14970043454008597,-0.5249659004272063,-0.30167391050383163,-0.46432908767669717,-0.4676579177509528,-0.07638792401532764,-0.35421772076213687,-0.3940455129598439,-0.4042259847600623,-0.27050572969024067,-0.46070305959380464,-0.30401477020873224,-0.3242257265091515,0.005932396764236468,0.01835601229012081,-0.48557750135878214,1.4558734073857726,2.7591833382264714,-0.5028665206772192,-0.4538108003489251,-0.11771696404083812,-0.2884362915424236,-0.2605072291479836,-0.509710959118845,-0.535197678751358,-0.20749569904024218,0.7937524269337516,-0.5376429185070001,-0.45633305681688874,-0.5076563758725662,-0.4928949293273115,-0.490478353783792,-0.5091874085816874,-0.4350400654940835,2.0801189488650764,-0.4939824537575095,-0.5343525546204627,-0.5126559537197688,1.665887175995678,-0.4696191139053703,0.5175447020463828,-0.5117017617615022,2.4507019421272216,-0.516173295015618,-0.39494785514758063,-0.5070211025792771,-0.031528998576437296,-0.23695402309428407,0.3792446846184317,-0.5163011179613869,1.2771448400090466,0.10780163203511176,-0.4629461484643791,0.25693926044864723,-0.36043050637088103,-0.4620641824260607,0.3056851057933759,-0.5084872549824015,1.1628726959483717,-0.5312171745854083,-0.5203168650299224,-0.4055027379353291,-0.513199962893307,-0.06018113974330358,2.1803063425288784,-0.20672106034333665,-0.5253813608025679,0.06665425040120199,-0.5171125184003501,-0.5007939806343856,-0.11874457342591559,-0.4943935692342251,-0.44171198634743186,-0.37269867580824256,-0.501984449953583,-0.4786059668030059,-0.4307235617436934,-0.43429987523468516,0.11332802963920997,-0.5021393456302043,0.9087110983676532,-0.32573772836142995,-0.17767811498252775,-0.5052175946012087,-0.5230519667661068
8,-0.16757343044249523,0.802246204874216,0.2481590539674174,-0.44052617092791735,-0.5285388094746106,-0.3672299488338857,-0.5575216723504185,-0.576896748564649,-0.5988659035918956,0.5209900173608529,-0.588912141433544,-0.5535812597925296,-0.5124422311802317,-0.3721882618119752,1.1454117647415845,-0.552370489606958,-0.5585375137403994,-0.4407686198994975,-0.49379838891217814,0.7032279933845578,-0.5295291575304656,-0.6101492134970039,-0.5607833465435033,-0.38331556277036494,-0.46092945540827696,0.1854168084190053,-0.6133603004046383,-0.4813291294879807,-0.5273202536095195,-0.5955573209052107,-0.42615946304104874,-0.3130812931026218,-0.5535198125188109,2.066842456017669,-0.5869828666388915,-0.16051066005088271,-0.5944460815857676,-0.33303854104201625,-0.522912693136076,-0.5281069190169029,-0.07489658960827907,-0.39393483051418954,-0.4411789636917764,-0.4527055023239533,-0.2965228902928035,-0.5191008481838398,-0.3358352288368391,-0.359760163260902,0.013518444776862149,0.032686887915965544,-0.5491718949238485,1.636822240084354,3.059229811672483,-0.5674329331079079,-0.5090698523145656,-0.122155004699007,-0.3179895166887888,-0.28508015495477407,-0.5754874921742883,-0.6080941859809632,-0.22545374197530293,0.8992256949692783,-0.6108010315347342,-0.5134886990996693,-0.5738421767353149,-0.5566028028044215,-0.5520991435623466,-0.5769872447657446,-0.48646701512678164,2.3198519803254234,-0.5595880343386996,-0.606827229146509,-0.5797231391648706,1.868158212128766,-0.5271288234448135,0.5923913620925866,-0.5793989853098638,2.7300341722053347,-0.5836273068981193,-0.44180984027275544,-0.5743152874794322,-0.02609209444059874,-0.25872940524798627,0.4374805539477654,-0.5833751336468289,1.438234101883615,0.13203647906307925,-0.5214468465362903,0.3010094581557968,-0.40084549766545763,-0.5206543956223064,0.3573322491160954,-0.5758047656240473,1.3118288652818983,-0.6019048310555329,-0.5897999320629911,-0.4547286976299805,-0.5797272735314332,-0.05899714881621618,2.4319377886704214,-0.22445866940329853,-0.5954197148544824,0.08595422105233222,-0.5842436735851037,-0.5667838213224516,-0.12359810802939465,-0.558350087466741,-0.4957876534543309,-0.41555354627049806,-0.5660919798006312,-0.540170035241886,-0.483397381414438,-0.4872544521880622,0.13765796922308118,-0.5673904299994084,1.0275261638951725,-0.3601501047762102,-0.1920192477958526,-0.571268833236816,-0.5919600913032351
9,-0.17648002161158965,0.8956063228692683,0.28683977115355125,-0.48366651728560955,-0.5865904750793809,-0.40162092074707567,-0.6211921007944576,-0.6432183668524578,-0.6682683731658936,0.5873731650280402,-0.6571969697961743,-0.616079235096579,-0.5674442180058923,-0.40671018248857493,1.2733254404940875,-0.6136455900408151,-0.6206036385300414,-0.4844073923421703,-0.5464453942154908,0.786822593633741,-0.5881442968910987,-0.6801235928238235,-0.624341182477049,-0.4191189419559438,-0.5082124316514861,0.21715447378199532,-0.6847474330380423,-0.5316312891093795,-0.5845042056130376,-0.6631249782436566,-0.46716045175592286,-0.33924881396153966,-0.614645960438642,2.276958945759568,-0.6531725618674338,-0.1711837832048629,-0.6613612832574675,-0.3629027010068058,-0.5800181844851874,-0.5868131297071894,-0.07256950939650739,-0.43249679658944556,-0.48710022725118646,-0.49963417540660204,-0.320659046557856,-0.5753962392196575,-0.3652403227501729,-0.3934934052951213,0.020258765879682707,0.048076959841721084,-0.6112459665549328,1.8118131585460664,3.339689539518956,-0.6299120705712083,-0.5618789178285417,-0.12545613744910472,-0.34576735033858,-0.3073986487936803,-0.6392600993486779,-0.6789967491897969,-0.24092156703995232,1.0020819995040424,-0.6828779056169421,-0.569285815979908,-0.6386682993393048,-0.6183050985110995,-0.6122329666876406,-0.6431051950486664,-0.5361107192031346,2.5496006983754804,-0.6236923430396971,-0.6781683635632824,-0.6448708532664315,2.0633583939391174,-0.5828601049896026,0.6648038696814272,-0.6452522618393856,2.996970072129024,-0.6495426459797033,-0.4869036378902659,-0.6402044858645312,-0.02289024847560639,-0.2779581374162091,0.4945201442540705,-0.6485736982969819,1.5951657314326912,0.15741284260658273,-0.5781347891836439,0.34578189321884734,-0.43872874346770213,-0.5779712468398809,0.40957344061499806,-0.6413084262138601,1.458042078542323,-0.6716146505939032,-0.6583425309290513,-0.5025205785415136,-0.6445923827468134,-0.056653815953069314,2.6726401174335455,-0.2400091491395147,-0.6627540843654425,0.10611207196704059,-0.649884713889889,-0.631219388482418,-0.12636280171024197,-0.6204871698338388,-0.548078112726051,-0.45655529159627445,-0.6280823777709396,-0.5989810639579807,-0.5341513733943222,-0.5381346466918336,0.1627715793701236,-0.6315290127273692,1.1440802992152572,-0.3922537211972351,-0.20439201749653346,-0.6349080563278673,-0.6596250672564125
