,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-0.01753480075722474,0.016292685723667807,-0.00618249465925339,-0.02313196173918933,-0.020275437545393096,-0.0219451130536313,-0.016915976993955632,-0.01601615587019709,-0.010655265618165832,0.004965366776495478,-0.010989022073485876,-0.016074069546860657,-0.021248456777084965,-0.021051589369316837,0.029657309822958593,-0.006749713634537626,-0.016138315781817937,-0.021331630781887843,-0.021502163699164384,0.012944212114930598,-0.018430496974002928,-0.011681549565918945,-0.015323325392262294,-0.02176358070682429,-0.0215723642180885,-0.010545578204279555,-0.012212011169412416,-0.02100964395422776,-0.017851843066640054,-0.011000869563156915,-0.02279841149407835,-0.021600463772300765,-0.015517500925335255,0.061696176621253124,-0.01176437759965965,-0.01827420522545084,-0.01144351020857903,-0.02199315713773242,-0.020077931510344135,-0.01769433094059996,-0.015921749982171066,-0.021721070692027413,-0.023365411423104273,-0.021511929313097995,-0.021090142803521523,-0.01783093939885525,-0.022137859182872442,-0.022879400224775952,-0.012941046506526511,-0.013152849756585063,-0.016808895980749656,0.0462625879856691,0.0979915590531889,-0.016756611656275927,-0.021914974333226412,-0.017055394224567137,-0.021461861728158622,-0.020867610634335468,-0.013161698194044464,-0.011377793825710216,-0.019381250403998584,0.01994197667072178,-0.01136819538808145,-0.021179660157537656,-0.012727207567349182,-0.0163226241030348,-0.015381421441977922,-0.016006684849997368,-0.021964421049631193,0.07053191073586379,-0.016668526034371408,-0.010885755568622722,-0.01153113231999693,0.05432113933221569,-0.020642382912736623,0.007853678094846746,-0.012928756093035395,0.08531860578084179,-0.011582304259747772,-0.022036392293284746,-0.015989513300070174,-0.014444458731033002,-0.01962907575907845,0.002174581101332596,-0.011632156172115105,0.039758781712936904,-0.009234027804242822,-0.017565190183453407,-0.00394580670678758,-0.021969536940929707,-0.017681395717821013,-0.0016475157611016019,-0.014916627467266033,0.03328347909388054,-0.011469276041880408,-0.01156587389336295,-0.022565741336304092,-0.01217662113436585,-0.014942281894333493,0.07384514159345978,-0.019732264929130584,-0.010965258368503253,-0.010387482672657065,-0.012062051005822276,-0.016043751674897244,-0.017263872813295153,-0.015190801261524648,-0.020930560208944095,-0.022739325875334088,-0.015961907027897078,-0.016445358591114876,-0.021330229486492207,-0.020686419267607118,-0.008759609348226035,-0.015679936856521685,0.02434752951108998,-0.022397551578263914,-0.018704796757206623,-0.015432984261941422,-0.010842651928776623
2,-0.04693277486641101,0.010678492668017327,-0.024579643885515912,-0.06363784866220398,-0.06303812988567596,-0.05774991234854185,-0.06176832163564053,-0.05984854905614025,-0.05720611378357167,-0.007236889100305488,-0.05698008577437739,-0.060239376835320886,-0.0617959058463552,-0.057445987901093364,0.029657309822958593,-0.049807210581748924,-0.06012225989518114,-0.06047864725727785,-0.06377329635958422,0.006425794709750405,-0.06314882736723677,-0.060632779285291906,-0.0582507789977752,-0.057496702165030306,-0.060752981863189594,-0.0301468386866106,-0.06009642536934076,-0.06138863221450683,-0.06048776184246584,-0.055888061426005144,-0.06346202681613719,-0.05691887044153745,-0.0583318413245253,0.08725281456350277,-0.0576657770077156,-0.04878087702249324,-0.0572301391767672,-0.05754054494385182,-0.06264697819114101,-0.05894701504898411,-0.042979810998428555,-0.05747065931285219,-0.060752542787562695,-0.06044899265556519,-0.056899607790957214,-0.060265441286083896,-0.05674152461194154,-0.05790313312102314,-0.03554926047286009,-0.037765509056821384,-0.06181050446830564,0.06118866778932189,0.1476543079777155,-0.06246540410791533,-0.06557933799055106,-0.04581249076497983,-0.05425995677378619,-0.05646076952157035,-0.057088901857707194,-0.058349979975186476,-0.04962978715218492,0.0168690294756943,-0.05825543374706269,-0.06415373866157278,-0.056212031546612966,-0.059711175083574944,-0.05851157326702876,-0.0599606290061852,-0.065584220650838,0.10228160238158826,-0.0618439005619223,-0.05798038153210126,-0.05707126170267602,0.07545333966823416,-0.06488342514684016,-0.0021514720649915145,-0.05637105775411273,0.1281915901386758,-0.05654171982013876,-0.06055450012486357,-0.060843559210431615,-0.03876707692681183,-0.05440992454859535,-0.01103396725737289,-0.05666025524030173,0.04976062308933139,-0.027766762601067016,-0.05857954822805508,-0.020953064851324126,-0.05903020873943293,-0.060458795096080854,-0.017368275310685074,-0.058546228557697755,0.03924312158054782,-0.05739616055486466,-0.05835404773417462,-0.06280536565551613,-0.056944847580852616,-0.04224165984226951,0.10736384002507174,-0.05131243648029475,-0.057385944868934856,-0.031063716932963305,-0.05777016539146008,-0.06084129598670109,-0.045944028042691105,-0.0579730821216846,-0.061770030591140286,-0.06012937937031029,-0.05932199169897152,-0.06001853775328481,-0.06308848025772454,-0.06130233419717674,-0.027461642059796162,-0.05980151297872569,0.022120139574539587,-0.056606202667893075,-0.04809558101207679,-0.057906203462507355,-0.056429325975908176
3,-0.0735113769118333,0.0006316134094839024,-0.046496547063361184,-0.10464605735983518,-0.10546912473046563,-0.09241614218193503,-0.10584464495581833,-0.10334518783239721,-0.10267442621526257,-0.02237907832152514,-0.0996839770346697,-0.10321236841961755,-0.10161286933396563,-0.0904064653654742,0.031338825030215935,-0.08969514547811694,-0.1030294481662786,-0.09548744663681757,-0.10331678494732045,-0.0024710549970277523,-0.1052590042476713,-0.10773415004091741,-0.10035351456808286,-0.09055557086252199,-0.09664178825931652,-0.05112676870285104,-0.10826692120638638,-0.09824917674418804,-0.09957039315117192,-0.09971066934655431,-0.10251531408739804,-0.09238018144588934,-0.09936221280962294,0.10760935523494938,-0.10046966243843464,-0.0784248303220473,-0.10055371926094307,-0.09238537072579593,-0.10476133878056144,-0.09952583819201186,-0.06651532807818178,-0.09171413911554069,-0.09747213157835355,-0.09693722542281122,-0.09161712868636525,-0.09983939963605279,-0.08898570698038297,-0.09326465344045312,-0.057539930555665975,-0.06261374895716597,-0.10539951856601094,0.07272437245364952,0.18370251455480674,-0.10837160089883761,-0.10832633298271789,-0.07070786652942357,-0.08574282830742092,-0.09110254715745482,-0.09921144125524,-0.10365769749985589,-0.07787215827826705,0.011903592278928024,-0.1038148101681451,-0.10532998707496978,-0.09832343814303003,-0.1035123040312986,-0.10039290147351393,-0.10331058313767594,-0.1062842162485351,0.12750300641295248,-0.10607685166992602,-0.10294712650309489,-0.0999510786328761,0.0916362434662165,-0.10833492986164445,-0.015778002520790188,-0.0985723376437325,0.16229376461517467,-0.09913277945796936,-0.0959530932248496,-0.10409068051306257,-0.06146215794081915,-0.08769122745480444,-0.028103382912885378,-0.09897857394561978,0.05640970297165677,-0.04733720147132046,-0.09929693861863917,-0.040767942376147295,-0.09290389646524011,-0.10055708303069451,-0.035342395472089734,-0.10069365167677746,0.04347603757803103,-0.10145098921705578,-0.10283074977808204,-0.10166055360529229,-0.09950911074624537,-0.06920260932088508,0.13459442710816766,-0.08337313749881275,-0.099738921472804,-0.0523103684633787,-0.10062355741694776,-0.10533134460493424,-0.07528867911725567,-0.10012003572926152,-0.10042270026608167,-0.09382044328693963,-0.1008782745603389,-0.1018840955436031,-0.09985384104488969,-0.09898834892782771,-0.04734429441628659,-0.10398490166805496,0.018974994268069596,-0.08977408354735208,-0.07401829865533553,-0.10019024663717976,-0.09909588327412108
4,-0.09733461626314836,-0.008820221992055666,-0.06773137971697876,-0.14100322278583605,-0.14626355720698497,-0.12431253327108999,-0.14776168419026403,-0.14533621375279104,-0.14560145237836036,-0.03879523135256501,-0.1380281035669627,-0.14343528185289223,-0.1391012915832193,-0.12049864770423684,0.031338825030215935,-0.12429150461551035,-0.14409566283811806,-0.12802918790411955,-0.14247984852791187,-0.010147721095419143,-0.14539436294337096,-0.15433455407700145,-0.13709093517651966,-0.12090936622714579,-0.12984493553680937,-0.07099251832897492,-0.15508978921570993,-0.13233785996258457,-0.13488720910392918,-0.13866513814760975,-0.14006898949775076,-0.1259774780060562,-0.13607159929096996,0.12410825018999193,-0.13818208402775492,-0.10747504224439554,-0.13896929166364777,-0.12615309659484317,-0.1455957709214648,-0.13450268917434868,-0.08847716993643127,-0.1225436946926735,-0.13130228583126116,-0.13061342133766804,-0.12404127682907005,-0.13572760874680578,-0.11941210764618082,-0.12783757813305735,-0.07778152201169547,-0.08507061496340375,-0.14751427132858977,0.08311901987435462,0.21334133142733658,-0.15237420635708218,-0.14871835732413322,-0.09405601190772636,-0.11350593934071683,-0.12334990222513892,-0.1370145764430821,-0.14668340007512598,-0.10392971458606917,0.007032672407660742,-0.14745544718227122,-0.14559070030998383,-0.13556475068651258,-0.14390075177148384,-0.13730419930973717,-0.14572722732820434,-0.14615782537683944,0.1477821533163007,-0.14918441069264257,-0.14646624097786312,-0.13813364425149388,0.10575437559701215,-0.15004971423357996,-0.02895471451416735,-0.13568231052796453,0.18904888132872302,-0.13669811818255867,-0.1275362663123322,-0.1462850164167905,-0.08249793414008191,-0.12011563871481495,-0.04479648177966675,-0.13628540419443316,0.062381702616541586,-0.06622995068501578,-0.1354878489861033,-0.06011181940649496,-0.12433720150865607,-0.13683476269014666,-0.05017411815288576,-0.13801063960779883,0.04809698603496785,-0.14068453514316118,-0.14565717839730444,-0.13882114649506175,-0.13668705030840939,-0.09680371622024513,0.15661567207703198,-0.11417442041371638,-0.13806413593137043,-0.0730016178299305,-0.1394778738236511,-0.14930626195208968,-0.10305912090356853,-0.13762848274233874,-0.13554985264384606,-0.12602418041043606,-0.13712686022728085,-0.1414388879176801,-0.13593207072370503,-0.13319414891920003,-0.06586369799317901,-0.1452202298135177,0.017230752500392278,-0.11928440022792038,-0.09877056041950291,-0.13750220384928857,-0.13692676432674783
5,-0.11910328062584813,-0.016374661729566597,-0.08798858485784551,-0.17621249501760747,-0.18609128147738815,-0.15382702657449404,-0.1894583632703304,-0.1865389662844808,-0.18614676286903298,-0.05405273002309262,-0.17177165936994718,-0.18290562775103547,-0.17576740543328634,-0.14871574683918753,0.029719929015457978,-0.15306871066030694,-0.1834318444852284,-0.15708460054780002,-0.18037081754135031,-0.016866135157757124,-0.18542974190983386,-0.19938415537082496,-0.16754917676932446,-0.14728698201202686,-0.1599458568944169,-0.08875926576244432,-0.20104435584107508,-0.16313452956581712,-0.16703244134450418,-0.17288207786677492,-0.17300280885565,-0.15730244707407456,-0.16746323357526877,0.1377316528101624,-0.17148091782830455,-0.13638450989040968,-0.17178743925825182,-0.15826538984077715,-0.18463172879312376,-0.1653317115017232,-0.1099891797767314,-0.15097117085188946,-0.16420178432719298,-0.1607720339070161,-0.15391065622399971,-0.16697317957577285,-0.1484795896815397,-0.16083397279381995,-0.09677963610176274,-0.10561469648101636,-0.18845785670333276,0.0914688805485392,0.23823154938422786,-0.1944254511894581,-0.18756118706682534,-0.11611626389655103,-0.14030185050541033,-0.15267209119955114,-0.16776222226828827,-0.18792738900693745,-0.12788647778801465,0.0023342340926892674,-0.18855018575609897,-0.1838658368069814,-0.16677858138258275,-0.18234971574511236,-0.16774833855306964,-0.1870166959114866,-0.1832051917813615,0.1645621020975659,-0.1908333016893721,-0.1878544240705736,-0.17114308543626727,0.1171491533326488,-0.1885727348552878,-0.04180427299418978,-0.1676784213536145,0.21216090390478803,-0.1691780634588016,-0.1571793146374988,-0.1870842995090628,-0.10275314204974852,-0.15018240315504403,-0.06011848432117809,-0.1681222636037452,0.06731967933084183,-0.08419507664765115,-0.16653526301793323,-0.07826504701245586,-0.15074857403438516,-0.1694288387015767,-0.06382980136167982,-0.17078544801393275,0.05344458059264927,-0.17606516902034683,-0.18571617236229693,-0.17574297193584068,-0.168563109102653,-0.12328128984522926,0.17513613809610382,-0.14346418489685295,-0.17199423899988533,-0.09184252559667834,-0.1728760028480925,-0.19093917913108158,-0.12897769963710093,-0.17144550622167581,-0.1670581070366743,-0.15301257020760584,-0.16756915792897087,-0.17852204988529363,-0.17067343323673143,-0.16392395965151305,-0.08415396187339803,-0.18437630009471115,0.0168868347869368,-0.14760386428844988,-0.12161553884627418,-0.1684216965222008,-0.1704051001300272
6,-0.13920200697484852,-0.021992717339815678,-0.10631146559847153,-0.20877425764342564,-0.22448826520905252,-0.18144100940959512,-0.22939092684954043,-0.22607000788527865,-0.22389886900440664,-0.06622074246237701,-0.20273949723780438,-0.22067043727642685,-0.211046149054052,-0.17476896946288664,0.029719929015457978,-0.1785085914139092,-0.22106837814592206,-0.1828921213322688,-0.2161659335550472,-0.023420464385583987,-0.22335135858782132,-0.2421175975501545,-0.19573190681881547,-0.16896152730257583,-0.18520644998274036,-0.10444193322006719,-0.2441573930778763,-0.18898007202256495,-0.19456541915417555,-0.20431803926070524,-0.20471752306521498,-0.18602584513880183,-0.1950711496308166,0.14926504250184325,-0.20214575658985057,-0.16223221651022574,-0.20296339879968717,-0.18935507296711118,-0.22260039265115752,-0.1918451621216555,-0.12994347825273672,-0.17631429783447225,-0.1954098347584177,-0.1881940331799157,-0.18138967257827188,-0.1952020911296206,-0.17613656745119044,-0.19152951077832678,-0.11396277341149787,-0.1247424351553701,-0.22747143716615545,0.09840953142882077,0.26056664766600146,-0.23407753824226912,-0.22357588542449025,-0.13742849141849228,-0.1645379458217876,-0.17957751618668313,-0.19681293492259855,-0.22517055466752545,-0.14960757775797576,-0.0020857228945821552,-0.22645737256361123,-0.22063932487728163,-0.19695052257819168,-0.21903181852151085,-0.1941453986371858,-0.22634633912457794,-0.21782457639108208,0.17968269839267703,-0.23087436730548766,-0.22565349877103186,-0.20136071471588154,0.12680053766743926,-0.22498866746825383,-0.05177768363826696,-0.1977867198865375,0.23275645059564465,-0.1994062968171892,-0.1828235632332631,-0.2254957880395621,-0.12134419110532678,-0.17708849326503723,-0.07374166883100869,-0.19737045138034556,0.07129275537120164,-0.09952303579200696,-0.1939028352150725,-0.09535917721065655,-0.17594340073838055,-0.198630901410133,-0.07565144756336006,-0.20042268016900203,0.05864635630324407,-0.20890944439082193,-0.22366394007823445,-0.21023351912046048,-0.19842338484959093,-0.14790057520786581,0.19211605855136105,-0.1696988092947098,-0.2029701060753501,-0.10969019928849555,-0.20332049367180932,-0.23139588233976058,-0.15174183720902942,-0.2010124332873684,-0.19513636680013677,-0.17805129952447873,-0.19493384605735484,-0.2142346523839072,-0.20338211085958852,-0.19116682856634132,-0.10028327177461067,-0.22173123420297988,0.016521002865436264,-0.17268247707807227,-0.14200527593500567,-0.19740329244671664,-0.20149295708112822
7,-0.156785189611752,-0.02633173799723642,-0.12314797017305326,-0.23902978695761884,-0.2604730899172433,-0.20839949497207977,-0.26688681594194874,-0.26226595469378144,-0.25638808342825636,-0.0777271920699907,-0.2310182643244073,-0.25440584168704355,-0.24373416946866155,-0.19625536179081535,0.027998996835857173,-0.2018121983585707,-0.2558010777055907,-0.20382469086231442,-0.24930295199772406,-0.02865580638246539,-0.25885372861524275,-0.28205621343109755,-0.22030979201359177,-0.18908595121892152,-0.20704435497281878,-0.11837652044341695,-0.28575359525231064,-0.21049333531691275,-0.2166136718358888,-0.23309586212929045,-0.23475578033472105,-0.21200875386461582,-0.2196519208209724,0.1603796013078525,-0.22913478210052687,-0.18674166499476103,-0.23049567546731228,-0.21816881159425072,-0.25742450196706496,-0.2135880662946768,-0.1472716035179154,-0.19817398636142272,-0.22521226739250957,-0.21129334986163062,-0.20638859863053105,-0.21699683888071641,-0.2016601959466242,-0.22129413516475527,-0.13002325712771617,-0.14184282939670742,-0.2642947589206829,0.10483029157745878,0.2818760105568261,-0.27123838476392637,-0.25737845596121545,-0.15704211290055664,-0.1863440669402976,-0.20364464120473716,-0.22238581795400894,-0.2589097082587205,-0.1692624869457769,-0.006128009441422139,-0.2608896308795896,-0.25370349050235164,-0.22325272071361302,-0.2530442384114266,-0.21729635599948713,-0.2619172234058079,-0.2503842659386008,0.193278551310003,-0.26765968926276473,-0.260443271508973,-0.22891849845332002,0.135890650625676,-0.25906432092418785,-0.05998131709709402,-0.22424191236478025,0.25234314262087465,-0.22637141388309326,-0.20363220849267585,-0.26046777179730407,-0.13839474719510347,-0.20185879942325352,-0.0847942379991709,-0.2232175270057992,0.07478273248232473,-0.11331828034579086,-0.2156812222345009,-0.11031261057995996,-0.198795901167837,-0.2213995720275385,-0.084419881106208,-0.2267975384306702,0.06387505444693405,-0.2388660091708552,-0.2572825017517288,-0.24286368199515915,-0.2256900321515881,-0.17048773913853302,0.207847789793248,-0.19379833415693515,-0.2312010469046467,-0.1254886072072419,-0.23089021736075574,-0.26918729453279955,-0.17259244368027668,-0.2258302292749181,-0.21865857267634145,-0.1996254881625272,-0.21950002207638508,-0.24774518089500536,-0.23375148567476586,-0.2136384891084732,-0.11611102100828129,-0.2559546014030976,0.016820507840929325,-0.1941204791728588,-0.16002698029922127,-0.2230603967131871,-0.22890330091039607
8,-0.1741805826491612,-0.03020908922646378,-0.1381763791576536,-0.2674928046114151,-0.2942555029311244,-0.23271572116590886,-0.3024046849216063,-0.29567024814038184,-0.28702881445091605,-0.08663107830584081,-0.25321891872308383,-0.2882515221535961,-0.2750936990608106,-0.21734203420888382,0.027998996835857173,-0.22043910249565923,-0.2892007160825758,-0.22344284420421295,-0.28148230017838544,-0.03395676375933836,-0.2921693736848538,-0.32063546250755537,-0.24002051830292315,-0.2070956240792303,-0.22496578477551396,-0.13116573195415543,-0.3256907321137358,-0.22753509477806522,-0.23688864719330807,-0.2564790006972276,-0.26272101640083384,-0.23594396422867295,-0.23915320036993526,0.17134498099772572,-0.2495626987090899,-0.2105377631133267,-0.25209013569300553,-0.24493769603376717,-0.2907125480857516,-0.23139318619082092,-0.16278903954488003,-0.21871096308403742,-0.2534946977758506,-0.23084854348921535,-0.23013584814129584,-0.23581049568352636,-0.22667242332578827,-0.24924659328635096,-0.1441835233360461,-0.15812028082405347,-0.298847417791431,0.11135493750019781,0.3027703513903631,-0.3061133800826587,-0.2897718646988428,-0.17462657162263936,-0.20659548096981736,-0.22668926381544593,-0.2412731142162415,-0.2908278833544792,-0.18711549351446186,-0.01055024215874928,-0.2939402908295851,-0.2857652027171996,-0.2434343012224007,-0.2850483236635928,-0.23558745737259962,-0.29397642649167705,-0.28111652211537425,0.2067590027125092,-0.3042816651399145,-0.29324468714457175,-0.2511378609695806,0.1447043151474757,-0.29169378747471963,-0.06631474780871782,-0.24421837668611887,0.2713351679517361,-0.24805645761839482,-0.22130842060423117,-0.291607994976048,-0.15507056376242956,-0.2243244251573026,-0.09446104507212975,-0.24275315833983313,0.0787895635428799,-0.12698248404368787,-0.2337147208174318,-0.1240514309575639,-0.21791681134471388,-0.2419255301263607,-0.0933295324539649,-0.2483485716941528,0.06991365395090089,-0.2630155856745647,-0.28760852608953863,-0.27398197050560236,-0.246345561426327,-0.19111631089622583,0.22267673168770707,-0.21628128039059957,-0.2530499703614469,-0.14152275462241728,-0.2541412168467683,-0.3049539003179231,-0.1911739277508605,-0.24709811154294728,-0.23885001154116994,-0.21808282003589985,-0.2378622078360947,-0.27791477804131554,-0.2623836981401139,-0.23113437940562667,-0.13058925944292235,-0.2875804981161884,0.018366522616626028,-0.2151509647398694,-0.1768327698753903,-0.24418804815479808,-0.25043024781550216
9,-0.1888357283715557,-0.032368848870477675,-0.1521078817446089,-0.2940155450086293,-0.32699550773575525,-0.25705244083855616,-0.3368374897397586,-0.32617012154159386,-0.3156965822762732,-0.09430060599305769,-0.27089189007171655,-0.3180845466576396,-0.30558504809433384,-0.23518315631798772,0.02657721487537101,-0.23432916162147877,-0.3198448977176308,-0.24008818893283035,-0.3116952489952604,-0.03944727891211436,-0.3237124318294577,-0.35730655992140303,-0.2541971434522635,-0.22182363827601123,-0.23909337181152363,-0.142289726448186,-0.3640118554071373,-0.24197376625256733,-0.2520791148566034,-0.27470727968911346,-0.28855194177346893,-0.25873549751946895,-0.2529570450715229,0.18285691968496015,-0.26596521812721374,-0.2321501326190038,-0.2688658289085525,-0.27020128845244257,-0.32347450074767115,-0.2457096055424213,-0.1774376445501772,-0.23530248874705137,-0.2808952407002883,-0.24734596764615777,-0.2523779329688866,-0.25023391309241044,-0.25077533061087387,-0.27480211861791143,-0.15648327714648672,-0.17222241043990777,-0.33182243579548343,0.11841573282478991,0.32326430869722794,-0.3394922959699128,-0.32021090040166794,-0.19002729252279726,-0.22556733670779877,-0.24830500832582905,-0.2563589424521865,-0.3199680709741597,-0.20328848800042118,-0.015056817149553477,-0.3240995916840896,-0.3166391572342273,-0.25872286229122476,-0.31388658583204765,-0.24908138617274087,-0.32373755365922985,-0.30988258964459076,0.2203910923996203,-0.3382059104205461,-0.3235990503842039,-0.2684871559547487,0.15385096660457814,-0.32242179728425724,-0.07207255405931699,-0.260043274279653,0.290646204357361,-0.2652714315801892,-0.2352783947210723,-0.32093696304717906,-0.16919841309500352,-0.24520611437624204,-0.10273863231681217,-0.25756352080007955,0.08321060725895517,-0.14010462872711588,-0.248134636638273,-0.13628349633155498,-0.23319734882145962,-0.25852804213995045,-0.10046726890853791,-0.2647795692618762,0.07617315561260468,-0.2835191450627147,-0.31750789136255797,-0.30362951438522623,-0.262060929921133,-0.20992539724018563,0.237886551161444,-0.23658506551014905,-0.2705769685437385,-0.15612870528524625,-0.2713986725309909,-0.34030573451422763,-0.2086952812139982,-0.26603443276438365,-0.25413162764357333,-0.23272321543065932,-0.25102928560594395,-0.30742925420050204,-0.2897172803863419,-0.24606613713034178,-0.14335539249964288,-0.31616102316189687,0.020263223840519994,-0.23201300254665014,-0.19196446757208807,-0.26104104225610236,-0.26756763840512676
